ID,xmlid,type,label,uri
80,p38_1,paragraph,"38,1",https://digitalzibaldone.net/paragraph/p38_1
81,p38_2,paragraph,"38,2",https://digitalzibaldone.net/paragraph/p38_2
82,p39_1,paragraph,"39,1",https://digitalzibaldone.net/paragraph/p39_1
83,p40_1,paragraph,"40,1",https://digitalzibaldone.net/paragraph/p40_1
84,p41_1,paragraph,"41,1",https://digitalzibaldone.net/paragraph/p41_1
85,p41_2,paragraph,"41,2",https://digitalzibaldone.net/paragraph/p41_2
86,p41_3,paragraph,"41,3",https://digitalzibaldone.net/paragraph/p41_3
87,p42_1,paragraph,"42,1",https://digitalzibaldone.net/paragraph/p42_1
88,p43_1,paragraph,"43,1",https://digitalzibaldone.net/paragraph/p43_1
89,p43_2,paragraph,"43,2",https://digitalzibaldone.net/paragraph/p43_2
90,p43_3,paragraph,"43,3",https://digitalzibaldone.net/paragraph/p43_3
91,p43_4,paragraph,"43,4",https://digitalzibaldone.net/paragraph/p43_4
92,p43_5,paragraph,"43,5",https://digitalzibaldone.net/paragraph/p43_5
93,p43_6,paragraph,"43,6",https://digitalzibaldone.net/paragraph/p43_6
94,p44_1,paragraph,"44,1",https://digitalzibaldone.net/paragraph/p44_1
95,p44_2,paragraph,"44,2",https://digitalzibaldone.net/paragraph/p44_2
96,p44_3,paragraph,"44,3",https://digitalzibaldone.net/paragraph/p44_3
97,p44_4,paragraph,"44,4",https://digitalzibaldone.net/paragraph/p44_4
98,p45_1,paragraph,"45,1",https://digitalzibaldone.net/paragraph/p45_1
99,p46_1,paragraph,"46,1",https://digitalzibaldone.net/paragraph/p46_1
100,p46_2,paragraph,"46,2",https://digitalzibaldone.net/paragraph/p46_2
101,p47_1,paragraph,"47,1",https://digitalzibaldone.net/paragraph/p47_1
102,p47_2,paragraph,"47,2",https://digitalzibaldone.net/paragraph/p47_2
103,p47_3,paragraph,"47,3",https://digitalzibaldone.net/paragraph/p47_3
104,p49_1,paragraph,"49,1",https://digitalzibaldone.net/paragraph/p49_1
105,p49_2,paragraph,"49,2",https://digitalzibaldone.net/paragraph/p49_2
106,p50_1,paragraph,"50,1",https://digitalzibaldone.net/paragraph/p50_1
107,p50_2,paragraph,"50,2",https://digitalzibaldone.net/paragraph/p50_2
108,p50_3,paragraph,"50,3",https://digitalzibaldone.net/paragraph/p50_3
109,p51_1,paragraph,"51,1",https://digitalzibaldone.net/paragraph/p51_1
110,p51_2,paragraph,"51,2",https://digitalzibaldone.net/paragraph/p51_2
111,p51_3,paragraph,"51,3",https://digitalzibaldone.net/paragraph/p51_3
112,p51_4,paragraph,"51,4",https://digitalzibaldone.net/paragraph/p51_4
113,p51_5,paragraph,"51,5",https://digitalzibaldone.net/paragraph/p51_5
114,p51_6,paragraph,"51,6",https://digitalzibaldone.net/paragraph/p51_6
115,p52_1,paragraph,"52,1",https://digitalzibaldone.net/paragraph/p52_1
116,p52_2,paragraph,"52,2",https://digitalzibaldone.net/paragraph/p52_2
117,p53_1,paragraph,"53,1",https://digitalzibaldone.net/paragraph/p53_1
118,p54_1,paragraph,"54,1",https://digitalzibaldone.net/paragraph/p54_1
119,p54_2,paragraph,"54,2",https://digitalzibaldone.net/paragraph/p54_2
120,p55_1,paragraph,"55,1",https://digitalzibaldone.net/paragraph/p55_1
121,p55_2,paragraph,"55,2",https://digitalzibaldone.net/paragraph/p55_2
122,p55_3,paragraph,"55,3",https://digitalzibaldone.net/paragraph/p55_3
123,p55_4,paragraph,"55,4",https://digitalzibaldone.net/paragraph/p55_4
124,p55_5,paragraph,"55,5",https://digitalzibaldone.net/paragraph/p55_5
125,p56_1,paragraph,"56,1",https://digitalzibaldone.net/paragraph/p56_1
126,p57_1,paragraph,"57,1",https://digitalzibaldone.net/paragraph/p57_1
127,p57_2,paragraph,"57,2",https://digitalzibaldone.net/paragraph/p57_2
128,p57_3,paragraph,"57,3",https://digitalzibaldone.net/paragraph/p57_3
129,p57_4,paragraph,"57,4",https://digitalzibaldone.net/paragraph/p57_4
130,p57_5,paragraph,"57,5",https://digitalzibaldone.net/paragraph/p57_5
131,p58_1,paragraph,"58,1",https://digitalzibaldone.net/paragraph/p58_1
132,p58_2,paragraph,"58,2",https://digitalzibaldone.net/paragraph/p58_2
133,p58_3,paragraph,"58,3",https://digitalzibaldone.net/paragraph/p58_3
134,p58_4,paragraph,"58,4",https://digitalzibaldone.net/paragraph/p58_4
135,p58_5,paragraph,"58,5",https://digitalzibaldone.net/paragraph/p58_5
136,p58_6,paragraph,"58,6",https://digitalzibaldone.net/paragraph/p58_6
137,p59_1,paragraph,"59,1",https://digitalzibaldone.net/paragraph/p59_1
138,p59_2,paragraph,"59,2",https://digitalzibaldone.net/paragraph/p59_2
